text,label
JUST IN TODAY: Trey Gowdy Is The NEW DIRECTOR Of The FBI!,fake
Obama knows his way around a ballot -- chicagotribune.com,real
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",real
USA: Mysterious Nazi submarine from WWII discovered in Great Lakes!,fake
"Shaquille O’Neal Says: ‘Trump Is Possibly The Best President Of The President Of All Times Ever, He Is Not Afraid To…’",fake
Lance Armstrong's defiant Twitter photo shows him relaxing with seven yellow jerseys,fake
"Donald Trump inauguration: Artists who won't perform at ceremony include Elton John, Celine Dion and John Legend",fake
"New York Officials Welcome Immigrants, Legal or Illegal",real
BUSTED: Russian Mansions Obama Seized Were Meant To Be Illegal Gifts To Sasha And Malia,fake
All Citizens Who Want to Receive Gvt Benefits Must Agree to Be Microchipped in the Near Future,fake
BREAKING: Illegal Muslim From Iran Arrested For Starting California Wildfire,fake
ELECTORAL COLLEGE ELECTOR COMMITS SUICIDE TO AVOID VOTING FOR DONALD TRUMP,fake
Browse Congressional Bills,real
Average cable TV bill cited in article on industry study,real
VIDEO: Special Preview Of Jersey Shore In Miami!,real
Man Loses His Testicles After Attempting To Smoke Weed Through A Scuba Tank,fake
The Arena - Politico's daily debate with policymakers and opinion shapers,real
'This Week' Transcript: Geithner,real
JUST IN: Sarah Palin In A Coma After Hit And Run,fake
The Budget and Economic Outlook: Fiscal Years 2009 to 2019,real
Has the potency of pot changed since President Obama was in high school?,real
Encounters With 'Regular Guy' Fred Thompson -- New York Magazine,real
Assistant professor of economics at the Gatton College of Business and Economics at University of Kentucky,real
"David Plouffe, Sen. Joe Lieberman and Gen. Michael Hayden talk national security leaks",real
The latest political news and headlines from D.C. and beyond,real
Libtard Hero Al Franken Forced To Resign In Disgrace,fake
President Barack Obama in Portsmouth Town Hall,real
Pope Calls for World Wide Gun Confiscation Except for the UN,fake
"Smoking In Cars With Children Is Illegal Starting January 30, 2018",fake
Democratic National Convention Committee,real
U.S. Army's Involvement in Motorsports,real
Sen. Sanders warns of ‘frightening trend’ towards oligarchy,real
FDIC: FIL-14-2005: Revised Examination Guidance,real
Fox News Sandra Smith: “Everybody Could See From The United Airlines Passenger’s Behavior That He Was Not A Genuine American”,fake
Israel should welcome Rouhani's election victory,real
Laguna Beach Antifa 22m David Hogg Didn't Attend Parkland High School I Went to School With Him at Redondo Shores High School in California and He Graduated in 2015 Here He Is in Our Yearbook From 201,fake
Wife of Las Vegas massacre victim: ‘He saved my life and lost his’,fake
Obamas comments on capandtrade costs,real
House GOP Introduces Keep Terrorists Out of America Act,real
ICE Detainer Issued for Suspected Wine Country Arsonist in Sonoma Jail,fake
"Washington Post: Breaking News, World, US, DC News & Analysis",real
Illinois General Assembly,real
Missing Teen-Ager Found in New Jersey,real
Republican response to President Barack Obamas Weekly radio address,real
Attorney General Sessions Statement on Recusal,fake
"Switchboard, from NRDC :: Barbara Finamore's Blog :: China’s Carbon Intensity Target",real
"Bill Clinton Says He 'Never Said A Bad Word About Senator Obama,' At mtvU's First 'Editorial Board'",real
Remarks by the President on the American Jobs Act,real
The page you're looking for may have been moved or renamed,real
Kerry-McCain: Welcome To Massachusetts!,real
BREAKING: Black Hockey Player FIRED After Raising Fist During National Anthem,fake
Cannibals Arrested in Florida Claim Eating Human Flesh Cures Diabetes and Depression,fake
"The CNN Miami Republican debate transcript, annotated",real
"Fact-Check: No, Fall River, Massachusetts, Was Not ‘Built by Immigrants’",fake
A Senate in the Gun Lobby’s Grip,real
Krugman calls Senate health care bill similar to law in Massachusetts,real
'This Week' Transcript: Hillary Clinton,real
"Employment, Hours, and Earnings from the Current Employment Statistics survey (National) Home Page",real
Hurricane Irene: ‘Photo’ of shark swimming in street is fake,fake
BREAKING: Fox Sports Cancels ALL NFL Broadcasts ‘Until Players Respect The Flag’,fake
Pro-Lifers Declare “Ejaculation Is Murder: Every Sperm Cell Is A Life”,fake
Births: Preliminary Data for 2005,real
Jason Aldean Gig Canceled After He Sells Out To Liberals On SNL,fake
CNN host Fareed Zakaria calls for jihad rape of white women,fake
Protecting Our Children from the Dangers of Smoking,real
Op-ed by President Obama: President Obama Reflects on the Impact of Title IX,real
USDA approves slaughterhouses producing horse meat for human consumption,fake
"Trump asking Congress, not Mexico, to pay for border wall",real
"ISIS Lays Down Arms After Katy Perry’s Impassioned Plea To ‘Like, Just Co-Exist’",fake
Supreme Court Vacancy Video,real
"Nancy Pelosi, Wicked Witch of the West",real
FDA Announced That Vaccines Are Causing Autism,fake
